"2022-12-28 22:14:08pm "," update "," UPDATE user SET `last_login` = '2022-12-28 22:14:08' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/login-check "," R: http://localhost/EthnicWear/admin"
"2022-12-28 22:20:09pm "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `unit_price`, `mrp_price`, `discount`, `net_price`, `tax`, `qty`, `gst_amt`, `discount_amt`, `cover_img`, `stock`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`, `warranty_title`, `warranty_detail`) VALUES('Maroon & Gold Ethnic Motifs Zari Silk Blend Banarasi Saree', 'Banarasi ', 'maroon-gold-ethnic-motifs-zari-silk-blend-banarasi-saree-red-vnky8c75', 'Maroon & Gold Ethnic Motifs Zari Silk Blend Banarasi Saree', '<h6>Design Details</h6><p>Maroon and gold-toned banarasi saree Ethnic motifs woven design saree with woven design border Has zari detail</p><p>The blouse worn by the model might be for modelling purpose only. Check the image of the blouse piece to understand how the actual blouse piece looks like.</p><h6>Size &amp; Fit</h6><p>Length: 5.5 metres plus 0.8 metre blouse piece</p><p>Width: 1.06 metres</p><h6>Material &amp; Care</h6><p>Saree Fabric : Silk Blend,</p><p>Blouse Fabric : Silk Blend,</p><p>Dry Clean</p>', '72', '2', '26', '1', '1200', 1344, '10', 1210, '12', '', 144, '10'_amt, 'cover_image.webp', '5', 0, 0, 0, '', '', '', '1', '2022-12-28 22:20:09', '', '') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2022-12-28 22:20:09pm "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp|5.jpg' WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2022-12-28 22:20:09pm "," update "," UPDATE product_details SET `short_code` = 'maroon-gold-ethnic-motifs-zari-silk-blend-banarasi-saree-red-vnky8c75-132' WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2022-12-28 22:20:09pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('132', 2, '6', '2022-12-28 22:20:09') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2022-12-28 22:38:59pm "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `unit_price`, `mrp_price`, `discount`, `net_price`, `tax`, `qty`, `gst_amt`, `discount_amt`, `cover_img`, `stock`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`, `warranty_title`, `warranty_detail`) VALUES('Lavender Art Silk Saree', 'Silk', 'lavender-art-silk-saree-pastel-pink-vne98q7y', 'Lavender Art Silk Saree', '<h6>Design Details</h6><p>Lavender saree
Solid solid saree with embellished border border</p><p>The saree comes with an unstitched blouse piece
The blouse worn by the model might be for modelling purpose only. Check the image of the blouse piece to understand how the actual blouse piece looks like.</p><h6>Size &amp; Fit</h6><p>Length: 5.5 metres plus 0.8 metre blouse piece</p><p>Width: 1.06 metres</p><h6>Material &amp; Care</h6><p>Art Silk</p><p>Machine wash</p>', '70', '2', '26', '2', '1200', 1344, '20', 1075, '12', '', 144, '20'_amt, 'cover_image.webp', '10', 0, 0, 0, '', '', '', '1', '2022-12-28 22:38:59', '', '') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2022-12-28 22:38:59pm "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '133' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2022-12-28 22:38:59pm "," update "," UPDATE product_details SET `short_code` = 'lavender-art-silk-saree-pastel-pink-vne98q7y-133' WHERE 1=1  and product_id = '133' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2022-12-28 22:38:59pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('133', 2, '123', '2022-12-28 22:38:59') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2022-12-28 22:50:50pm "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `unit_price`, `mrp_price`, `discount`, `net_price`, `tax`, `qty`, `gst_amt`, `discount_amt`, `cover_img`, `stock`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`, `warranty_title`, `warranty_detail`) VALUES('Yellow Zari Pure Silk Banarasi Saree', 'Banarasi 1', 'yellow-zari-pure-silk-banarasi-saree-yellow-vnky8c75', 'Yellow Zari Pure Silk Banarasi Saree', '<h6>Design Details</h6><p>Maroon and gold-toned banarasi saree Ethnic motifs woven design saree with woven design border Has zari detail</p><p>The blouse worn by the model might be for modelling purpose only. Check the image of the blouse piece to understand how the actual blouse piece looks like.</p><h6>Size &amp; Fit</h6><p>Length: 5.5 metres plus 0.8 metre blouse piece</p><p>Width: 1.06 metres</p><h6>Material &amp; Care</h6><p>Saree Fabric : Silk Blend,</p><p>Blouse Fabric : Silk Blend,</p><p>Dry Clean</p>', '77', '2', '26', '1', '1500', 1680, '20', 1344, '12', '', 180, '20'_amt, 'cover_image.webp', '10', 0, 0, 0, '', '', '', '1', '2022-12-28 22:50:50', '', '') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2022-12-28 22:50:50pm "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp|5.jpg' WHERE 1=1  and product_id = '134' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
