"2022-08-03 04:02:55am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('rr', 'rr', '1', '', '', '', '', '1', '2022-08-03 00:32:55') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-03 04:02:55am "," update "," UPDATE category SET `hierarchy` = '1,23' WHERE 1=1  and category_id = '23' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-03 04:02:55am "," update "," UPDATE category SET `child_category` = '5,6,7,23' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-03 04:04:13am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  and category_id = NULL "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/1"
"2022-08-03 04:04:13am "," update "," UPDATE category SET `category_name` = 'Category -1', `short_code` = 'category-1', `parent_category_id` = '', `hierarchy` = '1', `brand_id` = '', `element_id` = '1,2,3,4,5,6', `description` = 'Category -1', `category_image` = 'coronavirus_1638032825.png', `modified_by` = '1', `modified` = '2022-08-03 00:34:13', `is_active` = 1 WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/1"
"2022-08-03 04:04:13am "," update "," UPDATE category SET `child_category` = '1' WHERE 1=1  and category_id = '' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/1"
"2022-08-03 04:04:34am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  and category_id = NULL "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/2"
"2022-08-03 04:04:34am "," update "," UPDATE category SET `category_name` = 'Category-2', `short_code` = 'category-2', `parent_category_id` = '', `hierarchy` = '2', `brand_id` = '', `element_id` = '9', `description` = 'Category-2', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-03 00:34:34', `is_active` = 1 WHERE 1=1  and category_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/2"
"2022-08-03 04:04:34am "," update "," UPDATE category SET `child_category` = '2' WHERE 1=1  and category_id = '' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/2"
"2022-08-03 04:04:45am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  and category_id = NULL "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/3"
"2022-08-03 04:04:45am "," update "," UPDATE category SET `category_name` = 'Category -3', `short_code` = 'category-3', `parent_category_id` = '', `hierarchy` = '3', `brand_id` = '', `element_id` = '8', `description` = 'Category -3', `category_image` = '', `modified_by` = '1', `modified` = '2022-08-03 00:34:45', `is_active` = 1 WHERE 1=1  and category_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/3"
"2022-08-03 04:04:45am "," update "," UPDATE category SET `child_category` = '3' WHERE 1=1  and category_id = '' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/3"
"2022-08-03 04:05:00am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  and category_id = NULL "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/4"
