"2022-07-26 04:11:01am "," update "," UPDATE product_details SET `product_name` = 'product-1', `product_code` = '2807197673632', `short_code` = 'product-1', `short_description` = 'Lorem ipsum dolor sit amet', `description` = '<p><span style='color: rgb(0, 0, 0); font-family: ""Open Sans"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris convallis tortor ligula, nec iaculis nulla fringilla eu. Sed id ultricies magna, sed lobortis neque. Nam gravida ultricies dui, feugiat ornare nisl consectetur at.</span></p>', `brand_id` = '1', `category_id` = '1', `group_id` = '1', `group_unit_id` = '1', `reach_in` = 'Lorem ipsum', `mrp_price` = '1000', `discount` = '', `net_price` = '1000', `tax` = '0', `is_new` = 1, `is_best_seller` = 0, `meta_title` = 'Lorem ipsum dolor sit amet,', `meta_keyword` = 'Lorem ipsum dolor sit amet,dfdfd', `meta_description` = 'Lorem ipsum dolor sit amet,', `modified_by` = '1', `modified` = '2022-07-26 00:41:01', `is_active` = 1 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/Admin/submit-product "," R: http://localhost/Admin/edit-product/1"
"2022-07-26 04:11:01am "," update "," UPDATE product_details SET `image` = '04.png' WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/Admin/submit-product "," R: http://localhost/Admin/edit-product/1"
"2022-07-26 04:11:09am "," update "," UPDATE product_details SET `product_name` = 'product-1', `product_code` = '2807197673632', `short_code` = 'product-1', `short_description` = 'Lorem ipsum dolor sit amet', `description` = '<p><span style='color: rgb(0, 0, 0); font-family: ""Open Sans"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris convallis tortor ligula, nec iaculis nulla fringilla eu. Sed id ultricies magna, sed lobortis neque. Nam gravida ultricies dui, feugiat ornare nisl consectetur at.</span></p>', `brand_id` = '1', `category_id` = '1', `group_id` = '1', `group_unit_id` = '1', `reach_in` = 'Lorem ipsum', `mrp_price` = '1000', `discount` = '', `net_price` = '1000', `tax` = '0', `is_new` = 1, `is_best_seller` = 1, `meta_title` = 'Lorem ipsum dolor sit amet,', `meta_keyword` = 'Lorem ipsum dolor sit amet,dfdfd', `meta_description` = 'Lorem ipsum dolor sit amet,', `modified_by` = '1', `modified` = '2022-07-26 00:41:09', `is_active` = 1 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/Admin/submit-product "," R: http://localhost/Admin/edit-product/1"
"2022-07-26 04:11:09am "," update "," UPDATE product_details SET `image` = '04.png' WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/Admin/submit-product "," R: http://localhost/Admin/edit-product/1"
"2022-07-26 04:11:20am "," update "," UPDATE product_details SET `product_name` = 'product-1', `product_code` = '2807197673632', `short_code` = 'product-1', `short_description` = 'Lorem ipsum dolor sit amet', `description` = '<p><span style='color: rgb(0, 0, 0); font-family: ""Open Sans"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris convallis tortor ligula, nec iaculis nulla fringilla eu. Sed id ultricies magna, sed lobortis neque. Nam gravida ultricies dui, feugiat ornare nisl consectetur at.</span></p>', `brand_id` = '1', `category_id` = '1', `group_id` = '1', `group_unit_id` = '1', `reach_in` = 'Lorem ipsum', `mrp_price` = '1000', `discount` = '', `net_price` = '1000', `tax` = '0', `is_new` = 1, `is_best_seller` = 1, `meta_title` = 'Lorem ipsum dolor sit amet,', `meta_keyword` = 'Lorem ipsum dolor sit amet,dfdfd', `meta_description` = 'Lorem ipsum dolor sit amet,', `modified_by` = '1', `modified` = '2022-07-26 00:41:20', `is_active` = 1 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/Admin/submit-product "," R: http://localhost/Admin/edit-product/1"
"2022-07-26 04:11:20am "," update "," UPDATE product_details SET `image` = '04.png|04.png' WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/Admin/submit-product "," R: http://localhost/Admin/edit-product/1"
"2022-07-26 04:14:26am "," update "," UPDATE product_details SET `product_name` = 'product-1', `product_code` = '2807197673632', `short_code` = 'product-1', `short_description` = 'Lorem ipsum dolor sit amet', `description` = '<p><span style='color: rgb(0, 0, 0); font-family: ""Open Sans"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris convallis tortor ligula, nec iaculis nulla fringilla eu. Sed id ultricies magna, sed lobortis neque. Nam gravida ultricies dui, feugiat ornare nisl consectetur at.</span></p>', `brand_id` = '1', `category_id` = '1', `group_id` = '1', `group_unit_id` = '1', `reach_in` = 'Lorem ipsum', `mrp_price` = '1000', `discount` = '', `net_price` = '1000', `tax` = '0', `is_new` = 1, `is_best_seller` = 1, `meta_title` = 'Lorem ipsum dolor sit amet,', `meta_keyword` = 'Lorem ipsum dolor sit amet,dfdfd', `meta_description` = 'Lorem ipsum dolor sit amet,', `modified_by` = '1', `modified` = '2022-07-26 00:44:26', `is_active` = 1 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/Admin/submit-product "," R: http://localhost/Admin/edit-product/1"
"2022-07-26 04:14:26am "," update "," UPDATE product_details SET `image` = '' WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/Admin/submit-product "," R: http://localhost/Admin/edit-product/1"
"2022-07-26 04:14:36am "," update "," UPDATE product_details SET `product_name` = 'product-1', `product_code` = '2807197673632', `short_code` = 'product-1', `short_description` = 'Lorem ipsum dolor sit amet', `description` = '<p><span style='color: rgb(0, 0, 0); font-family: ""Open Sans"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris convallis tortor ligula, nec iaculis nulla fringilla eu. Sed id ultricies magna, sed lobortis neque. Nam gravida ultricies dui, feugiat ornare nisl consectetur at.</span></p>', `brand_id` = '1', `category_id` = '1', `group_id` = '1', `group_unit_id` = '1', `reach_in` = 'Lorem ipsum', `mrp_price` = '1000', `discount` = '', `net_price` = '1000', `tax` = '0', `is_new` = 1, `is_best_seller` = 1, `meta_title` = 'Lorem ipsum dolor sit amet,', `meta_keyword` = 'Lorem ipsum dolor sit amet,dfdfd', `meta_description` = 'Lorem ipsum dolor sit amet,', `modified_by` = '1', `modified` = '2022-07-26 00:44:36', `is_active` = 1 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/Admin/submit-product "," R: http://localhost/Admin/edit-product/1"
"2022-07-26 04:14:36am "," update "," UPDATE product_details SET `image` = '04.png' WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/Admin/submit-product "," R: http://localhost/Admin/edit-product/1"
"2022-07-26 04:15:10am "," update "," UPDATE product_details SET `product_name` = 'product-1', `product_code` = '2807197673632', `short_code` = 'product-1', `short_description` = 'Lorem ipsum dolor sit amet', `description` = '<p><span style='color: rgb(0, 0, 0); font-family: ""Open Sans"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris convallis tortor ligula, nec iaculis nulla fringilla eu. Sed id ultricies magna, sed lobortis neque. Nam gravida ultricies dui, feugiat ornare nisl consectetur at.</span></p>', `brand_id` = '1', `category_id` = '1', `group_id` = '1', `group_unit_id` = '1', `reach_in` = 'Lorem ipsum', `mrp_price` = '1000', `discount` = '', `net_price` = '1000', `tax` = '0', `is_new` = 1, `is_best_seller` = 1, `meta_title` = 'Lorem ipsum dolor sit amet,', `meta_keyword` = 'Lorem ipsum dolor sit amet,dfdfd', `meta_description` = 'Lorem ipsum dolor sit amet,', `modified_by` = '1', `modified` = '2022-07-26 00:45:10', `is_active` = 1 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/Admin/submit-product "," R: http://localhost/Admin/edit-product/1"
