"2022-10-03 22:05:51pm "," update "," UPDATE vendor SET `last_login` = '2022-10-03 22:05:51' WHERE 1=1  and vendor_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-10-03 22:07:19pm "," update "," UPDATE user SET `last_login` = '2022-10-03 22:07:19' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-10-03 22:08:12pm "," update "," UPDATE vendor SET `last_login` = '2022-10-03 22:08:12' WHERE 1=1  and vendor_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-10-03 22:29:24pm "," update "," UPDATE vendor SET `last_login` = '2022-10-03 22:29:24' WHERE 1=1  and vendor_id = '2' "," 127.0.0.1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-10-03 22:30:29pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '3', '1', '{""1"":""1"",""2"":""11""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/greciilooks-womens-casual-digital-printed-shirt-ruffle-sleeve-tops?pid=3"
"2022-10-03 22:30:41pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '7', '1', '{""1"":""2"",""2"":""9"",""5"":""50""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-10-03 22:31:00pm "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`) VALUES('OD202223-11664816460', '1', 2, 2448, 2, 936, 239.83, 1511.83, '2022-10-03', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-10-03 22:31:00pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`) VALUES('5', '7', 'Dennis Lingo Men Shirt', '1', '559', '2071', 559, '73', 'return,replace', '10', '73'_amt, '12', '12'_amt, '1', '{""Size"":""M"",""Color"":""BLUE"",""T-shirt Fits"":""SLIM FIT.""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-10-03 22:31:00pm "," insert "," INSERT INTO stock_details(`product_id`, `old_stock`, `ordered_qty`, `current_stock`, `status`) VALUES('7', 43, '1', 42, 2) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-10-03 22:31:00pm "," update "," UPDATE product_details SET `stock` = 42 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-10-03 22:31:00pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`) VALUES('5', '3', 'Greciilooks Womens Casual Digital Printed Shirt Ruffle Sleeve Tops', '1', '377', '377', 377, '', 'return,replace', '10', ''_amt, '5', '5'_amt, '2', '{""Size"":""S"",""Color"":""WHITE""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-10-03 22:31:00pm "," insert "," INSERT INTO stock_details(`product_id`, `old_stock`, `ordered_qty`, `current_stock`, `status`) VALUES('3', 50, '1', 49, 2) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-10-03 22:31:00pm "," update "," UPDATE product_details SET `stock` = 49 WHERE 1=1  and product_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-10-03 22:31:00pm "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '5', '1', 936, '2022-10-03', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-10-03 22:31:00pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
