"2022-11-29 21:16:38pm "," update "," UPDATE vendor SET `last_login` = '2022-11-29 21:16:38' WHERE 1=1  and vendor_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-11-29 21:17:11pm "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop"
"2022-11-29 21:17:43pm "," insert "," INSERT INTO parent_product_listing(`vendor_id`, `parent_name`, `variant_code`, `is_active`) VALUES('1', 'Men White Pure Cotton T-shirt', 'icQd71', 1) "," ::1 "," URL: http://localhost/MultiVendor/submit-parent-product "," R: http://localhost/MultiVendor/add-parent-product"
"2022-11-29 21:17:51pm "," update "," UPDATE product_details SET `variant_code` = 'icQd71', `parent_product_id` = '1' WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/1"
"2022-11-29 21:17:51pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'icQd71', `parent_product_id` = '1' WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/1"
"2022-11-29 21:17:58pm "," update "," UPDATE product_details SET `variant_code` = 'icQd71', `parent_product_id` = '1' WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/1"
"2022-11-29 21:17:58pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'icQd71', `parent_product_id` = '1' WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/1"
"2022-11-29 21:18:00pm "," update "," UPDATE product_details SET `variant_code` = 'icQd71', `parent_product_id` = '1' WHERE 1=1  and product_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/1"
"2022-11-29 21:18:00pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'icQd71', `parent_product_id` = '1' WHERE 1=1  and product_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/1"
"2022-11-29 21:18:03pm "," update "," UPDATE product_details SET `variant_code` = 'icQd71', `parent_product_id` = '1' WHERE 1=1  and product_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/1"
"2022-11-29 21:18:03pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'icQd71', `parent_product_id` = '1' WHERE 1=1  and product_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/1"
